0 0 1000 0 |0| 0 0 0 0 0 0 0 99.168000 10.273623 0.505000 0.500225 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
33 0 1000 0 |0| 0 0 19396 0 32032 0 0 117.014000 11.179660 499.220000 288.844621 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
66 0 1000 0 |0| 0 0 19914 0 32953 0 0 135.242000 12.275428 499.234000 288.807380 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
99 0 1000 0 |0| 1 0 19800 0 32945 0 0 153.066000 14.835759 499.237000 288.826976 0.300000 0.000000 0.500368 0.100541 -0.199626 0.019470
132 0 1000 0 |0| 24 0 19835 0 32961 0 0 162.693000 37.975794 499.235000 288.805267 0.300000 0.000000 0.500266 0.099507 -0.199537 0.019223
165 0 1000 0 |0| 208 0 19837 0 32953 0 0 111.098000 86.465535 495.798000 289.174908 0.300000 0.000000 0.501824 0.098975 -0.199469 0.019194
198 0 1000 0 |0| 311 0 19865 0 32927 0 0 45.715000 66.573687 498.880000 289.123867 0.300000 0.000000 0.501859 0.101372 -0.198829 0.019076
231 0 1000 0 |0| 127 0 19771 0 32943 0 0 33.480000 32.911377 498.368000 289.057736 0.300000 0.000000 0.501752 0.101257 -0.198840 0.018891
264 0 1000 0 |0| 28 0 19969 0 32954 0 0 45.314000 20.683114 499.237000 288.822068 0.300000 0.000000 0.501805 0.101380 -0.199043 0.018955
297 0 1000 0 |0| 5 0 19861 0 32941 0 0 62.249000 19.225989 499.255000 288.839752 0.300000 0.000000 0.502200 0.101195 -0.199043 0.018949
330 0 1000 0 |0| 0 0 19973 0 32946 0 0 80.631000 20.222210 499.274000 288.834216 0.300000 0.000000 0.502200 0.101195 -0.199043 0.018949
363 0 1000 0 |0| 0 0 19856 0 32947 0 0 98.859000 21.087717 499.215000 288.805913 0.300000 0.000000 0.502200 0.101195 -0.199043 0.018949
396 0 1000 0 |0| 0 0 19705 0 32952 0 0 116.904000 22.002839 499.246000 288.812777 0.300000 0.000000 0.502200 0.101195 -0.199043 0.018949
429 0 1000 0 |0| 1 0 19853 0 32942 0 0 134.777000 23.296437 499.230000 288.837990 0.300000 0.000000 0.502046 0.101176 -0.199063 0.018942
462 0 1000 0 |0| 17 0 19746 0 32942 0 0 146.973000 34.382240 499.225000 288.796762 0.300000 0.000000 0.503025 0.100588 -0.198857 0.019044
495 0 1000 0 |0| 101 0 19826 0 32956 0 0 130.872000 66.943686 498.421000 289.016031 0.300000 0.000000 0.500411 0.100072 -0.198505 0.018870
528 0 1000 0 |0| 168 0 19850 0 32949 0 0 95.073000 80.453667 498.325000 288.250755 0.300000 0.000000 0.499707 0.100557 -0.198286 0.018805
561 0 1000 0 |0| 178 0 19853 0 32948 0 0 62.024000 69.294843 498.102000 289.107701 0.300000 0.000000 0.500297 0.099807 -0.198266 0.018995
594 0 1000 0 |0| 127 0 19650 0 32946 0 0 48.303000 48.453162 498.819000 288.792877 0.300000 0.000000 0.499595 0.099422 -0.198565 0.018538
