0 0 1000 0 |0| 0 0 0 0 0 0 0 99.147000 9.630376 0.503000 0.500241 0.300000 0.000000 0.497491 0.099533 -0.199914 0.019838
33 0 1000 0 |0| 0 0 19004 0 31904 0 0 116.567000 10.581563 499.248000 288.836984 0.300000 0.000000 0.497491 0.099533 -0.199914 0.019838
66 0 1000 0 |0| 0 0 19742 0 32944 0 0 134.617000 11.934267 499.251000 288.814019 0.300000 0.000000 0.497491 0.099533 -0.199914 0.019838
99 0 1000 0 |0| 1 0 19786 0 32959 0 0 152.359000 14.447590 499.258000 288.769831 0.300000 0.000000 0.497418 0.099542 -0.199924 0.019842
132 0 1000 0 |0| 21 0 19655 0 32947 0 0 162.702000 36.234019 498.570000 288.716782 0.300000 0.000000 0.498110 0.099375 -0.200008 0.019861
165 0 1000 0 |0| 190 0 19671 0 32948 0 0 115.942000 85.578141 497.674000 289.501051 0.300000 0.000000 0.497845 0.099585 -0.199948 0.020000
198 0 1000 0 |0| 310 0 19720 0 32940 0 0 46.272000 67.452337 498.131000 287.924414 0.300000 0.000000 0.496771 0.100257 -0.199294 0.019837
231 0 1000 0 |0| 132 0 19673 0 32940 0 0 32.694000 32.282387 498.440000 288.989601 0.300000 0.000000 0.497057 0.101912 -0.199407 0.019755
264 0 1000 0 |0| 29 0 19824 0 32946 0 0 44.182000 18.621268 499.253000 288.791876 0.300000 0.000000 0.496618 0.101934 -0.199597 0.019701
297 0 1000 0 |0| 3 0 19881 0 32952 0 0 61.660000 18.000678 499.229000 288.822373 0.300000 0.000000 0.496911 0.102035 -0.199621 0.019704
330 0 1000 0 |0| 0 0 19877 0 32951 0 0 79.905000 18.904586 499.262000 288.833918 0.300000 0.000000 0.496911 0.102035 -0.199621 0.019704
363 0 1000 0 |0| 0 0 19803 0 32950 0 0 98.012000 19.851396 499.250000 288.827330 0.300000 0.000000 0.496911 0.102035 -0.199621 0.019704
