0 0 1000 0 0 0 0 0 0 0 0 99.168000 10.273623 0.505000 0.500225 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
33 0 1000 0 0 0 505 0 862 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
66 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
99 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
132 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
165 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
198 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
231 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
264 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
297 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
330 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
363 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
396 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
429 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
462 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
495 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
528 0 1000 0 0 0 0 0 0 0 0 99.673000 10.283084 0.000000 0.000000 0.300000 0.000000 0.500467 0.100528 -0.199626 0.019470
